,Title,Author,Age,Favorite,PublicDay,HashTag
221,해골협객,성불예정,RATE_15,23141,TUESDAY,"무협/사극,차원이동,좀비,판무,빙의"
222,은주의 방 2~3부,노란구미,ALL,160683,TUESDAY,"드라마,드라마&영화원작웹툰"
223,웅크,나유진,ALL,64112,TUESDAY,"감성,무해한,힐링"
224,배드 엔딩 메이커,오일구,ALL,47213,TUESDAY,"판타지,피카레스크,게임판타지,소설원작"
225,렌탈히어로,포르토,RATE_15,27200,TUESDAY,액션
226,애옹식당,정다정,ALL,98905,TUESDAY,"일상,무해한,힐링,음식&요리,성장드라마,동물"
227,왕게임,신형욱,RATE_12,111351,TUESDAY,"액션,블루스트링,학원물,서스펜스"
228,그냥 선생님,연일,ALL,79241,TUESDAY,일상
229,반대로 끌리는 사이,한구,ALL,63809,TUESDAY,"로맨스,햇살캐,로맨스코미디,2021지상최대공모전,캠퍼스로맨스"
230,로맨스 당도 백퍼센트,이동건,ALL,29185,TUESDAY,"일상,러블리,짝사랑,2030연애,로맨스코미디,현실로맨스,하이퍼리얼리즘"
231,로맨스가 가능해?,임주이,ALL,84017,TUESDAY,"로맨스,2030연애,로맨스코미디,청춘로맨스,선결혼후연애,걸크러시,소설원작"
232,제로게임,즐바센,RATE_12,374577,TUESDAY,"판타지,최강자전,2015최강자전,두뇌싸움,걸크러시"
233,윗집 그 남자,핸저 아트,RATE_15,41790,TUESDAY,"스릴러,해외작품,집착물"
234,착한 여자 안선해,선우,ALL,11985,TUESDAY,"드라마,성장드라마,감성드라마"
235,내남친 킹카만들기,랑쓰,ALL,116922,TUESDAY,"로맨스,환골탈태,로맨스코미디,2021지상최대공모전"
236,주인님을 잡아먹는 방법,세인,RATE_15,121753,TUESDAY,"로맨스,직진남,소설원작"
237,아이즈,정썸머,RATE_15,88094,TUESDAY,"액션,2019지상최대공모전,이능력배틀물,인외존재"
238,랜덤타겟,이니,ALL,75820,TUESDAY,로맨스
239,우투리: THE LEGACY,이재헌,RATE_15,18395,TUESDAY,판타지
240,여우자매,갈치,ALL,78148,TUESDAY,"판타지,동양풍판타지"
241,팀장님은 신혼이 피곤하다,장그린,ALL,75174,TUESDAY,"로맨스,짝사랑,로맨스코미디,계약연애,오피스로맨스,소설원작"
242,자매의 사생활,조주희,RATE_15,39784,TUESDAY,"로맨스,재벌,고자극로맨스,2030연애,로맨스코미디,혐관로맨스,계약연애"
243,필리아로제 - 가시왕관의 예언,백화등,ALL,80594,TUESDAY,"판타지,레드아이스스튜디오,소설원작"
244,"이 결혼, 새로고침",영,RATE_15,52381,TUESDAY,"로맨스,계약연애,소설원작"
245,붉은 이정표,달뜬,RATE_15,49058,TUESDAY,"액션,사이다,동양풍판타지,복수극,먼치킨"
246,햄버거가 제일 좋아,용현,ALL,54259,TUESDAY,"로맨스,현실로맨스,청춘로맨스,연상연하,삼각관계"
247,죽었던 너와 다시 시작하기,히우,RATE_15,20855,TUESDAY,"로맨스,2022지상최대공모전,다정남,집착물,2030연애,캠퍼스로맨스"
248,원포인트,잇,ALL,23892,TUESDAY,"스포츠,동아리,스포츠성장"
249,은밀한 재택근무,굴닭,RATE_12,22405,TUESDAY,"로맨스,재벌,2030연애,로맨스코미디,현실로맨스,친구>연인,직진남,재회,오피스로맨스,사내연애,소설원작"
250,대리게임,철준,RATE_15,12867,TUESDAY,"스릴러,게임판타지,학원물,복수극"
251,공작저의 붉은 밤,H.C,RATE_15,19992,TUESDAY,"로맨스,선결혼후연애,뱀파이어,로판,구원서사,소설원작"
252,돌격! 용마치킨,팀 오누이,ALL,19714,TUESDAY,판타지
253,동경과 거짓말,오한,RATE_12,20849,TUESDAY,"드라마,음악,2021지상최대공모전,성장드라마,구원서사"
254,원수가 나를 유혹할 때,황비노,ALL,34174,TUESDAY,"로맨스,폭스남,2030연애,로맨스코미디,회귀,직진남,소설원작"
255,왕자님 짠내밥상,쑥,ALL,7468,TUESDAY,드라마
256,DARK MOON: 회색 도시,HYBE,RATE_12,17555,TUESDAY,"판타지,세계관,느와르,다크판타지"
257,헥토파스칼,버퍼링,RATE_12,97563,TUESDAY,"액션,복수극,느와르"
258,"너의 순정, 나의 순정",정살,ALL,46017,TUESDAY,"로맨스,학원로맨스"
259,AI 유하,박현,ALL,22710,TUESDAY,"로맨스,아이돌연애,로맨스코미디,현실로맨스,연예계,삼각관계"
260,호랑이형님,이상규,RATE_15,869517,SATURDAY,"판타지,세계관,동양풍판타지"
261,99강화나무몽둥이,홍실,RATE_15,509207,SATURDAY,"판타지,고인물,사이다,게임판타지"
